#Ligand RMSD
complex_45w.pdb 0.000
complex_39w.pdb 0.636
complex_24w.pdb 0.887
complex_95w.pdb 0.808
complex_50w.pdb 0.678
complex_6w.pdb 0.789
complex_165w.pdb 0.358
complex_103w.pdb 1.165
complex_48w.pdb 0.725
complex_149w.pdb 0.817
complex_109w.pdb 0.477
complex_18w.pdb 1.151
complex_8w.pdb 1.188
complex_183w.pdb 1.177
complex_110w.pdb 0.752
complex_139w.pdb 0.963
complex_19w.pdb 1.193
complex_180w.pdb 1.228
complex_150w.pdb 0.545
complex_181w.pdb 0.430
complex_123w.pdb 0.608
complex_79w.pdb 1.081
complex_5w.pdb 0.956
complex_30w.pdb 1.283
complex_22w.pdb 0.592
complex_52w.pdb 1.343
complex_38w.pdb 1.213
complex_72w.pdb 1.301
complex_27w.pdb 1.189
complex_184w.pdb 1.208
complex_178w.pdb 1.326
complex_1w.pdb 0.559
complex_153w.pdb 0.821
complex_74w.pdb 0.769
complex_162w.pdb 0.459
complex_21w.pdb 0.942
complex_129w.pdb 1.312
complex_196w.pdb 0.710
complex_160w.pdb 0.545
complex_105w.pdb 0.822
complex_174w.pdb 0.890
complex_192w.pdb 1.080
complex_111w.pdb 0.611
complex_186w.pdb 0.459
complex_87w.pdb 0.883
complex_126w.pdb 0.950
complex_185w.pdb 0.877
complex_33w.pdb 0.540
complex_58w.pdb 0.878
complex_191w.pdb 1.367
complex_190w.pdb 0.615
complex_168w.pdb 1.915
complex_40w.pdb 1.261
complex_159w.pdb 1.246
complex_138w.pdb 0.834
complex_120w.pdb 1.080
complex_51w.pdb 0.785
complex_188w.pdb 0.410
complex_119w.pdb 0.904
complex_179w.pdb 0.798
complex_182w.pdb 0.754
complex_144w.pdb 1.592
complex_158w.pdb 1.023
complex_70w.pdb 1.207
complex_146w.pdb 0.792
complex_113w.pdb 1.158
complex_176w.pdb 0.954
complex_64w.pdb 0.705
complex_92w.pdb 1.013
complex_112w.pdb 0.777
complex_68w.pdb 1.121
complex_127w.pdb 1.284
complex_43w.pdb 1.177
complex_145w.pdb 1.338
complex_9w.pdb 0.981
complex_91w.pdb 0.903
complex_67w.pdb 1.094
complex_151w.pdb 1.013
complex_65w.pdb 0.792
complex_82w.pdb 0.477
complex_122w.pdb 0.782
complex_54w.pdb 1.296
complex_152w.pdb 0.353
complex_37w.pdb 1.213
complex_49w.pdb 1.184
complex_3w.pdb 0.923
complex_157w.pdb 1.233
complex_117w.pdb 1.136
complex_155w.pdb 0.843
complex_59w.pdb 0.780
complex_29w.pdb 0.854
complex_71w.pdb 1.059
complex_34w.pdb 0.755
complex_76w.pdb 0.935
complex_115w.pdb 0.703
complex_197w.pdb 1.297
complex_62w.pdb 0.933
complex_156w.pdb 1.301
complex_161w.pdb 1.216
complex_134w.pdb 0.913
complex_171w.pdb 1.081
complex_46w.pdb 1.321
complex_102w.pdb 1.647
complex_173w.pdb 1.002
complex_166w.pdb 1.161
