#Interface RMSD
complex_7w.pdb 0.000
complex_102w.pdb 0.395
complex_163w.pdb 0.319
complex_75w.pdb 0.209
complex_130w.pdb 0.967
complex_166w.pdb 1.019
complex_185w.pdb 0.355
complex_14w.pdb 1.209
complex_156w.pdb 0.722
complex_133w.pdb 0.304
complex_149w.pdb 1.038
complex_142w.pdb 0.166
complex_74w.pdb 0.432
complex_164w.pdb 1.480
complex_88w.pdb 1.505
complex_4w.pdb 0.360
complex_144w.pdb 0.816
complex_69w.pdb 0.482
complex_147w.pdb 0.198
complex_23w.pdb 0.445
complex_177w.pdb 1.369
complex_18w.pdb 0.297
complex_109w.pdb 0.954
complex_107w.pdb 1.386
complex_65w.pdb 1.341
complex_110w.pdb 0.324
complex_187w.pdb 0.433
complex_121w.pdb 1.179
complex_181w.pdb 1.294
complex_70w.pdb 1.696
complex_46w.pdb 0.900
complex_160w.pdb 1.381
complex_68w.pdb 0.370
complex_66w.pdb 0.356
complex_127w.pdb 1.264
complex_154w.pdb 1.562
complex_53w.pdb 1.486
complex_80w.pdb 1.200
complex_1w.pdb 0.495
complex_114w.pdb 0.854
complex_126w.pdb 0.520
complex_72w.pdb 0.827
complex_96w.pdb 0.209
complex_43w.pdb 0.354
complex_31w.pdb 0.865
complex_77w.pdb 0.708
complex_125w.pdb 0.593
complex_78w.pdb 1.662
complex_93w.pdb 1.556
complex_158w.pdb 0.128
complex_171w.pdb 1.091
complex_99w.pdb 0.732
complex_87w.pdb 0.654
complex_165w.pdb 1.445
complex_196w.pdb 0.450
complex_175w.pdb 1.282
complex_129w.pdb 1.718
complex_123w.pdb 1.304
complex_56w.pdb 1.282
complex_168w.pdb 0.446
complex_60w.pdb 0.417
complex_169w.pdb 1.229
complex_103w.pdb 0.860
complex_145w.pdb 0.280
complex_54w.pdb 1.204
complex_167w.pdb 1.321
complex_200w.pdb 0.627
complex_141w.pdb 1.245
complex_35w.pdb 0.197
complex_61w.pdb 1.196
complex_2w.pdb 1.430
complex_89w.pdb 1.239
complex_49w.pdb 0.735
complex_112w.pdb 0.171
complex_188w.pdb 1.345
complex_67w.pdb 1.365
complex_138w.pdb 0.588
complex_105w.pdb 1.505
complex_140w.pdb 1.475
complex_172w.pdb 1.374
complex_30w.pdb 0.345
complex_179w.pdb 0.258
complex_81w.pdb 0.358
complex_12w.pdb 0.191
complex_10w.pdb 0.327
complex_115w.pdb 1.039
complex_151w.pdb 1.300
complex_119w.pdb 1.364
complex_3w.pdb 1.474
complex_159w.pdb 1.718
complex_82w.pdb 0.347
complex_42w.pdb 0.233
complex_26w.pdb 1.507
complex_113w.pdb 1.140
complex_57w.pdb 0.302
complex_59w.pdb 0.557
complex_50w.pdb 0.500
complex_191w.pdb 0.734
complex_194w.pdb 1.508
complex_180w.pdb 1.662
complex_62w.pdb 0.340
complex_189w.pdb 0.770
complex_148w.pdb 1.516
complex_92w.pdb 1.141
complex_34w.pdb 1.370
complex_13w.pdb 0.244
complex_106w.pdb 1.515
complex_146w.pdb 1.845
complex_21w.pdb 1.128
complex_173w.pdb 0.466
complex_9w.pdb 0.157
complex_22w.pdb 0.277
complex_41w.pdb 0.965
complex_124w.pdb 1.222
complex_20w.pdb 0.329
complex_170w.pdb 0.286
complex_157w.pdb 0.364
complex_19w.pdb 0.251
complex_15w.pdb 1.468
complex_37w.pdb 0.440
complex_197w.pdb 0.622
complex_174w.pdb 1.424
complex_17w.pdb 1.507
complex_27w.pdb 1.918
complex_71w.pdb 0.876
complex_16w.pdb 1.058
complex_186w.pdb 1.748
complex_128w.pdb 1.355
complex_84w.pdb 1.287
complex_90w.pdb 0.426
complex_132w.pdb 1.387
complex_122w.pdb 0.237
complex_39w.pdb 1.253
complex_40w.pdb 0.496
complex_120w.pdb 0.265
complex_97w.pdb 0.248
complex_25w.pdb 1.470
complex_116w.pdb 1.319
complex_199w.pdb 0.522
complex_184w.pdb 0.997
complex_192w.pdb 0.162
complex_183w.pdb 0.220
complex_47w.pdb 0.238
complex_143w.pdb 0.140
complex_52w.pdb 1.350
complex_152w.pdb 0.449
complex_45w.pdb 1.351
complex_111w.pdb 0.303
complex_85w.pdb 0.143
complex_32w.pdb 0.877
complex_8w.pdb 1.189
complex_137w.pdb 1.247
complex_33w.pdb 1.723
complex_153w.pdb 0.405
complex_28w.pdb 1.234
complex_73w.pdb 0.661
complex_162w.pdb 1.010
complex_24w.pdb 0.368
complex_83w.pdb 0.512
complex_44w.pdb 0.334
complex_161w.pdb 0.728
complex_100w.pdb 1.100
complex_139w.pdb 0.160
complex_86w.pdb 0.990
complex_178w.pdb 0.570
complex_198w.pdb 1.289
complex_38w.pdb 0.427
complex_63w.pdb 1.223
complex_118w.pdb 1.238
complex_193w.pdb 0.269
complex_150w.pdb 1.234
complex_91w.pdb 0.316
complex_94w.pdb 1.595
complex_5w.pdb 1.096
complex_190w.pdb 1.433
complex_155w.pdb 1.354
complex_76w.pdb 0.248
complex_58w.pdb 1.233
complex_135w.pdb 1.409
complex_6w.pdb 1.518
complex_182w.pdb 1.399
complex_101w.pdb 1.184
complex_108w.pdb 1.507
complex_117w.pdb 1.163
complex_51w.pdb 1.129
complex_176w.pdb 1.102
complex_136w.pdb 0.894
complex_36w.pdb 1.416
complex_98w.pdb 1.559
complex_134w.pdb 0.859
complex_55w.pdb 1.221
complex_48w.pdb 1.096
complex_11w.pdb 1.718
complex_29w.pdb 1.219
complex_64w.pdb 1.058
complex_195w.pdb 0.476
complex_131w.pdb 1.440
complex_104w.pdb 1.312
complex_79w.pdb 1.232
complex_95w.pdb 1.247
