#Ligand RMSD
complex_7w.pdb 0.000
complex_102w.pdb 0.509
complex_163w.pdb 1.024
complex_75w.pdb 0.539
complex_130w.pdb 1.260
complex_166w.pdb 0.911
complex_185w.pdb 0.477
complex_14w.pdb 1.115
complex_156w.pdb 0.603
complex_133w.pdb 0.592
complex_149w.pdb 1.591
complex_142w.pdb 0.367
complex_74w.pdb 1.018
complex_164w.pdb 1.606
complex_88w.pdb 1.571
complex_4w.pdb 0.523
complex_144w.pdb 1.138
complex_69w.pdb 0.889
complex_147w.pdb 0.957
complex_23w.pdb 0.494
complex_177w.pdb 1.067
complex_18w.pdb 0.573
complex_109w.pdb 1.231
complex_107w.pdb 2.339
complex_65w.pdb 1.368
complex_110w.pdb 0.396
complex_187w.pdb 0.463
complex_121w.pdb 1.012
complex_181w.pdb 1.134
complex_70w.pdb 1.781
complex_46w.pdb 1.123
complex_160w.pdb 1.187
complex_68w.pdb 0.451
complex_66w.pdb 0.657
complex_127w.pdb 1.391
complex_154w.pdb 1.540
complex_53w.pdb 1.970
complex_80w.pdb 1.246
complex_1w.pdb 0.599
complex_114w.pdb 0.855
complex_126w.pdb 0.614
complex_72w.pdb 0.691
complex_96w.pdb 0.395
complex_43w.pdb 0.548
complex_31w.pdb 0.884
complex_77w.pdb 0.782
complex_125w.pdb 0.480
complex_78w.pdb 1.591
complex_93w.pdb 1.512
complex_158w.pdb 0.377
complex_171w.pdb 0.922
complex_99w.pdb 0.637
complex_87w.pdb 0.692
complex_165w.pdb 1.446
complex_196w.pdb 0.500
complex_175w.pdb 1.149
complex_129w.pdb 1.563
complex_123w.pdb 1.126
complex_56w.pdb 1.138
complex_168w.pdb 0.476
complex_60w.pdb 0.715
complex_169w.pdb 1.310
complex_103w.pdb 0.888
complex_145w.pdb 0.306
complex_54w.pdb 1.392
complex_167w.pdb 1.529
complex_200w.pdb 0.639
complex_141w.pdb 1.472
complex_35w.pdb 0.504
complex_61w.pdb 0.880
complex_2w.pdb 1.218
complex_89w.pdb 1.053
complex_49w.pdb 0.616
complex_112w.pdb 0.445
complex_188w.pdb 1.140
complex_67w.pdb 1.536
complex_138w.pdb 0.559
complex_105w.pdb 1.201
complex_140w.pdb 1.744
complex_172w.pdb 1.341
complex_30w.pdb 0.558
complex_179w.pdb 0.543
complex_81w.pdb 0.408
complex_12w.pdb 0.384
complex_10w.pdb 0.585
complex_115w.pdb 0.897
complex_151w.pdb 1.364
complex_119w.pdb 1.277
complex_3w.pdb 1.848
complex_159w.pdb 1.595
