#Ligand RMSD
complex_70w.pdb 0.000
complex_30w.pdb 1.063
complex_49w.pdb 1.072
complex_152w.pdb 0.559
complex_55w.pdb 0.494
complex_17w.pdb 0.525
complex_75w.pdb 0.714
complex_170w.pdb 0.910
complex_127w.pdb 0.502
complex_2w.pdb 0.903
complex_19w.pdb 1.139
complex_89w.pdb 0.935
complex_77w.pdb 1.148
complex_97w.pdb 1.009
complex_92w.pdb 0.779
complex_50w.pdb 0.710
complex_162w.pdb 1.332
complex_131w.pdb 0.657
complex_64w.pdb 0.948
complex_122w.pdb 1.156
complex_199w.pdb 1.259
complex_28w.pdb 0.784
complex_62w.pdb 0.574
complex_200w.pdb 0.958
complex_14w.pdb 0.940
complex_39w.pdb 0.719
complex_101w.pdb 0.510
complex_111w.pdb 0.972
complex_151w.pdb 0.558
complex_72w.pdb 0.988
complex_53w.pdb 0.705
complex_114w.pdb 1.278
complex_81w.pdb 0.631
complex_61w.pdb 0.661
complex_196w.pdb 0.924
complex_71w.pdb 0.975
complex_25w.pdb 1.056
complex_26w.pdb 0.596
complex_7w.pdb 1.125
complex_171w.pdb 1.020
complex_161w.pdb 0.660
complex_13w.pdb 0.679
complex_66w.pdb 0.819
complex_10w.pdb 1.299
complex_148w.pdb 0.848
complex_165w.pdb 1.071
complex_94w.pdb 0.959
complex_60w.pdb 1.470
complex_18w.pdb 0.761
complex_145w.pdb 0.869
complex_33w.pdb 0.986
complex_58w.pdb 0.967
complex_90w.pdb 1.252
complex_167w.pdb 1.009
complex_32w.pdb 0.974
complex_177w.pdb 0.676
complex_160w.pdb 0.960
complex_149w.pdb 0.904
complex_186w.pdb 0.725
complex_197w.pdb 0.801
complex_183w.pdb 0.730
complex_84w.pdb 1.194
complex_20w.pdb 1.082
complex_134w.pdb 1.581
complex_182w.pdb 0.595
complex_179w.pdb 0.473
complex_159w.pdb 1.097
complex_16w.pdb 1.000
complex_46w.pdb 0.939
complex_6w.pdb 0.504
complex_11w.pdb 0.661
complex_9w.pdb 0.678
complex_102w.pdb 1.114
complex_112w.pdb 1.132
complex_121w.pdb 1.139
complex_187w.pdb 0.991
complex_79w.pdb 0.963
complex_100w.pdb 1.171
complex_142w.pdb 1.409
complex_56w.pdb 1.268
complex_76w.pdb 0.836
complex_98w.pdb 0.527
complex_172w.pdb 0.778
complex_73w.pdb 0.657
complex_158w.pdb 1.075
complex_38w.pdb 0.954
complex_35w.pdb 0.907
complex_69w.pdb 1.140
complex_96w.pdb 0.543
complex_43w.pdb 0.871
complex_173w.pdb 1.211
complex_4w.pdb 1.152
complex_174w.pdb 0.520
complex_115w.pdb 0.782
complex_74w.pdb 0.737
complex_59w.pdb 1.045
complex_168w.pdb 0.783
complex_117w.pdb 1.097
complex_108w.pdb 1.326
complex_51w.pdb 0.920
complex_153w.pdb 0.855
complex_191w.pdb 1.112
complex_188w.pdb 1.439
complex_104w.pdb 0.846
complex_129w.pdb 1.061
complex_141w.pdb 0.736
complex_120w.pdb 1.539
complex_185w.pdb 1.122
complex_124w.pdb 0.796
complex_36w.pdb 0.655
complex_190w.pdb 1.014
complex_125w.pdb 1.115
complex_139w.pdb 0.848
complex_132w.pdb 1.278
complex_63w.pdb 0.574
complex_86w.pdb 0.696
complex_181w.pdb 0.898
complex_99w.pdb 1.415
complex_107w.pdb 0.670
complex_164w.pdb 0.943
complex_5w.pdb 1.086
complex_163w.pdb 0.726
complex_88w.pdb 0.964
complex_133w.pdb 0.613
complex_137w.pdb 0.747
complex_29w.pdb 0.889
complex_128w.pdb 0.672
complex_83w.pdb 1.004
complex_192w.pdb 0.582
complex_194w.pdb 1.323
complex_184w.pdb 1.105
complex_24w.pdb 1.046
complex_82w.pdb 0.727
complex_65w.pdb 0.825
complex_178w.pdb 1.337
complex_87w.pdb 1.053
complex_48w.pdb 0.704
complex_1w.pdb 1.089
